エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,認可出力（変更後）,適用開始日,稼働開始日,稼働終了日,最終更新日時
"東京","東京電力リニューアブルパワー株式会社","31007","玉原発電所","水力","4号機","300000","","","1900/01/01","9999/12/31","2020/04/03 11:46",
"東京","東日本旅客鉄道株式会社","31052","小千谷第二発電所","水力","1号機","103000","","","1900/01/01","9999/12/31","2017/07/19 17:23",
"東京","東日本旅客鉄道株式会社","31052","小千谷第二発電所","水力","2号機","103000","","","1900/01/01","9999/12/31","2017/07/19 17:25",
"東北","電源開発","31201","電源開発奥清津発電所","水力","1号機","250000","","","1900/01/01","9999/12/31","2016/04/12 11:24",
"東北","電源開発","31201","電源開発奥清津発電所","水力","2号機","250000","","","1900/01/01","9999/12/31","2016/04/12 11:26",
"東北","電源開発","31201","電源開発奥清津発電所","水力","3号機","250000","","","1900/01/01","9999/12/31","2016/04/12 11:28",
"東北","電源開発","31201","電源開発奥清津発電所","水力","4号機","250000","","","1900/01/01","9999/12/31","2016/04/12 11:30",
"東京","東京電力ホールディングス株式会社","31202","東京柏崎刈羽","原子力","柏崎刈羽1号機","1100000","","","1900/01/01","9999/12/31","2016/04/18 14:24",
"東京","東京電力ホールディングス株式会社","31202","東京柏崎刈羽","原子力","柏崎刈羽2号機","1100000","","","1900/01/01","9999/12/31","2016/04/18 14:25",
"東京","東京電力ホールディングス株式会社","31202","東京柏崎刈羽","原子力","柏崎刈羽3号機","1100000","","","1900/01/01","9999/12/31","2026/02/12 09:31",
"東京","東京電力ホールディングス株式会社","31202","東京柏崎刈羽","原子力","柏崎刈羽4号機","1100000","","","1900/01/01","9999/12/31","2016/04/18 14:25",
"東京","東京電力ホールディングス株式会社","31202","東京柏崎刈羽","原子力","柏崎刈羽5号機","1100000","","","1900/01/01","9999/12/31","2016/04/18 14:26",
"東京","東京電力ホールディングス株式会社","31202","東京柏崎刈羽","原子力","柏崎刈羽6号機","1356000","","","1900/01/01","9999/12/31","2016/04/18 14:26",
"東京","東京電力ホールディングス株式会社","31202","東京柏崎刈羽","原子力","柏崎刈羽7号機","1356000","","","1900/01/01","9999/12/31","2016/04/18 14:26",
"東京","東京電力リニューアブルパワー株式会社","31203","神流川発電所","水力","1号機","470000","","","1900/01/01","9999/12/31","2020/04/03 11:46",
"東京","東京電力リニューアブルパワー株式会社","31203","神流川発電所","水力","2号機","470000","","","1900/01/01","9999/12/31","2020/04/03 11:45",
"東北","電源開発","31204","電源開発奥清津第二発電所","水力","1号機","300000","","","1900/01/01","9999/12/31","2016/04/12 10:57",
"東北","電源開発","31204","電源開発奥清津第二発電所","水力","2号機","300000","","","1900/01/01","9999/12/31","2016/04/12 10:58",
"東京","東京電力リニューアブルパワー株式会社","31301","新高瀬川発電所","水力","1号機","320000","","","1900/01/01","9999/12/31","2020/04/03 11:42",
"東京","東京電力リニューアブルパワー株式会社","31301","新高瀬川発電所","水力","2号機","320000","","","1900/01/01","9999/12/31","2020/04/03 11:41",
"東京","東京電力リニューアブルパワー株式会社","31301","新高瀬川発電所","水力","3号機","320000","","","1900/01/01","9999/12/31","2020/04/03 11:41",
"東京","東京電力リニューアブルパワー株式会社","31301","新高瀬川発電所","水力","4号機","320000","","","1900/01/01","9999/12/31","2020/04/03 11:40",
"東京","東京電力リニューアブルパワー株式会社","31302","安曇発電所","水力","1号機","105500","","","1900/01/01","9999/12/31","2020/04/03 11:44",
"東京","東京電力リニューアブルパワー株式会社","31302","安曇発電所","水力","2号機","105500","","","1900/01/01","9999/12/31","2020/04/03 11:44",
"東京","東京電力リニューアブルパワー株式会社","31302","安曇発電所","水力","3号機","103000","","","1900/01/01","9999/12/31","2020/04/03 11:43",
"東京","東京電力リニューアブルパワー株式会社","31302","安曇発電所","水力","4号機","103000","","","1900/01/01","9999/12/31","2020/04/03 11:43",
"東京","東京電力リニューアブルパワー株式会社","31302","安曇発電所","水力","5号機","103000","","","1900/01/01","9999/12/31","2020/04/03 11:42",
"東京","東京電力リニューアブルパワー株式会社","31302","安曇発電所","水力","6号機","103000","","","1900/01/01","9999/12/31","2020/04/03 11:42",
"東京","電源開発","31804","電源開発磯子火力発電所新１号機","火力（石炭）","1号機","600000","","","1900/01/01","9999/12/31","2016/04/12 11:06",
"東京","電源開発","31805","電源開発磯子火力発電所新２号機","火力（石炭）","2号機","600000","","","1900/01/01","9999/12/31","2018/02/13 10:09",
"東京","ＪＦＥスチール株式会社","32055","ＪＦＥスチール株式会社 東日本製鉄所(京浜地区)扇島火力発電所","火力（ガス）","扇島火力発電所 新１号機","188200","","","2019/11/20","9999/12/31","2019/11/19 18:02",
"東京","東京電力リニューアブルパワー株式会社","32201","葛野川発電所","水力","1号機","400000","","","1900/01/01","9999/12/31","2020/04/03 11:45",
"東京","東京電力リニューアブルパワー株式会社","32201","葛野川発電所","水力","2号機","400000","","","1900/01/01","9999/12/31","2020/04/03 11:45",
"東京","東京電力リニューアブルパワー株式会社","32201","葛野川発電所","水力","4号機","400000","","","1900/01/01","9999/12/31","2020/04/03 11:44",
"東京","東日本旅客鉄道株式会社","32469","川崎発電所","火力（ガス）","1号機","212600","","","2021/03/06","9999/12/31","2021/02/22 11:05",
"東京","東日本旅客鉄道株式会社","32469","川崎発電所","火力（ガス）","2号機","187400","","","1900/01/01","9999/12/31","2017/07/19 17:34",
"東京","東日本旅客鉄道株式会社","32469","川崎発電所","火力（ガス）","3号機","198400","","","1900/01/01","9999/12/31","2017/07/19 17:35",
"東京","東日本旅客鉄道株式会社","32469","川崎発電所","火力（ガス）","4号機","210600","","","1900/01/01","9999/12/31","2017/07/19 17:36",
"東京","株式会社コベルコパワー真岡","325RY","真岡発電所","火力（ガス）","1号機","624100","","","2019/09/12","9999/12/31","2019/08/23 10:50",
"東京","株式会社コベルコパワー真岡","325RY","真岡発電所","火力（ガス）","2号機","624100","","","2020/01/29","9999/12/31","2020/01/20 16:23",
"東京","かみすパワー株式会社","327A9","神栖火力発電所","火力（石炭）","単独","112000","","","2018/10/15","9999/12/31","2018/10/10 16:00",
"東京","勿来ＩＧＣＣパワー合同会社","327U5","勿来ＩＧＣＣ発電所","火力（石炭）","単独","525000","","","2021/04/16","9999/12/31","2022/01/18 13:22",
"東京","広野ＩＧＣＣパワー合同会社","327W1","広野ＩＧＣＣ発電所","火力（石炭）","単独","543000","","","2021/11/19","9999/12/31","2023/01/30 14:17",
"東京","株式会社JERA","327YK","常陸那珂共同火力発電所","火力（石炭）","常陸那珂共同火力１号","650000","","","2021/01/07","9999/12/31","2025/04/09 15:16",
"東京","株式会社JERA","328RU","姉崎火力発電所","火力（ガス）","姉崎新３号","646900","","","2023/08/01","9999/12/31","2025/04/09 15:20",
"東京","株式会社JERA","328RV","姉崎火力発電所","火力（ガス）","姉崎新２号","646900","","","2023/04/01","9999/12/31","2025/04/09 15:19",
"東京","株式会社JERA","328XX","横須賀火力発電所","火力（石炭）","横須賀１号","650000","","","2023/06/30","9999/12/31","2025/04/09 15:17",
"東京","株式会社JERA","328XY","横須賀火力発電所","火力（石炭）","横須賀２号","650000","","","2023/12/22","9999/12/31","2025/04/09 15:18",
"東京","株式会社JERA","328Z0","姉崎火力発電所","火力（ガス）","姉崎新１号","646900","","","2023/02/01","9999/12/31","2025/04/09 15:19",
"東京","株式会社JERA","330UQ","五井火力発電所","火力（ガス）","五井１号","780000","","","2024/08/01","9999/12/31","2025/04/09 15:21",
"東京","株式会社JERA","331D8","五井火力発電所","火力（ガス）","五井２号","780000","","","2024/11/14","9999/12/31","2025/04/09 15:22",
"東京","株式会社JERA","331RJ","五井火力発電所","火力（ガス）","五井３号","780000","","","2025/03/01","9999/12/31","2025/04/09 15:22",
"東京","株式会社JERA","34001","千葉火力発電所","火力（ガス）","千葉１－１号","360000","","","1900/01/01","9999/12/31","2025/04/09 15:22",
"東京","株式会社JERA","34002","千葉火力発電所","火力（ガス）","千葉１－２号","360000","","","1900/01/01","9999/12/31","2025/04/09 15:22",
"東京","株式会社JERA","34003","千葉火力発電所","火力（ガス）","千葉１－３号","360000","","","1900/01/01","9999/12/31","2025/04/09 15:23",
"東京","株式会社JERA","34004","千葉火力発電所","火力（ガス）","千葉１－４号","360000","","","1900/01/01","9999/12/31","2025/04/09 15:23",
"東京","株式会社JERA","34005","千葉火力発電所","火力（ガス）","千葉２－１号","360000","","","1900/01/01","9999/12/31","2025/04/09 15:24",
"東京","株式会社JERA","34006","千葉火力発電所","火力（ガス）","千葉２－２号","360000","","","1900/01/01","9999/12/31","2025/04/09 15:24",
"東京","株式会社JERA","34007","千葉火力発電所","火力（ガス）","千葉２－３号","360000","","","1900/01/01","9999/12/31","2025/04/09 15:25",
"東京","株式会社JERA","34008","千葉火力発電所","火力（ガス）","千葉２－４号","360000","","","1900/01/01","9999/12/31","2025/04/09 15:25",
"東京","株式会社JERA","34009","千葉火力発電所","火力（ガス）","千葉３－１号","500000","","","1900/01/01","9999/12/31","2025/04/09 15:26",
"東京","株式会社JERA","34010","千葉火力発電所","火力（ガス）","千葉３－２号","500000","","","1900/01/01","9999/12/31","2025/04/09 15:26",
"東京","株式会社JERA","34011","千葉火力発電所","火力（ガス）","千葉３－３号","500000","","","1900/01/01","9999/12/31","2025/04/09 15:27",
"東京","株式会社JERA","34025","袖ケ浦火力発電所","火力（ガス）","袖ケ浦２号","1000000","","","1900/01/01","9999/12/31","2025/04/09 15:05",
"東京","株式会社JERA","34026","袖ケ浦火力発電所","火力（ガス）","袖ケ浦３号","1000000","","","1900/01/01","9999/12/31","2025/04/09 15:05",
"東京","株式会社JERA","34027","袖ケ浦火力発電所","火力（ガス）","袖ケ浦４号","1000000","","","1900/01/01","9999/12/31","2025/04/09 15:06",
"東京","株式会社JERA","34028","富津火力発電所","火力（ガス）","富津１－１号","167000","","","1900/01/01","9999/12/31","2025/04/09 15:07",
"東京","株式会社JERA","34029","富津火力発電所","火力（ガス）","富津１－２号","167000","","","1900/01/01","9999/12/31","2025/04/09 15:08",
"東京","株式会社JERA","34030","富津火力発電所","火力（ガス）","富津１－３号","167000","","","1900/01/01","9999/12/31","2025/04/09 15:08",
"東京","株式会社JERA","34031","富津火力発電所","火力（ガス）","富津１－４号","167000","","","1900/01/01","9999/12/31","2025/04/09 15:09",
"東京","株式会社JERA","34032","富津火力発電所","火力（ガス）","富津１－５号","167000","","","1900/01/01","9999/12/31","2025/04/09 15:10",
"東京","株式会社JERA","34033","富津火力発電所","火力（ガス）","富津１－６号","167000","","","1900/01/01","9999/12/31","2025/04/09 15:10",
"東京","株式会社JERA","34034","富津火力発電所","火力（ガス）","富津１－７号","165000","","","1900/01/01","9999/12/31","2025/04/09 15:11",
"東京","株式会社JERA","34035","富津火力発電所","火力（ガス）","富津２－１号","162000","","","1900/01/01","9999/12/31","2025/04/09 15:12",
"東京","株式会社JERA","34036","富津火力発電所","火力（ガス）","富津２－２号","162000","","","1900/01/01","9999/12/31","2025/04/09 15:12",
"東京","株式会社JERA","34037","富津火力発電所","火力（ガス）","富津２－３号","162000","","","1900/01/01","9999/12/31","2025/04/09 15:13",
"東京","株式会社JERA","34038","富津火力発電所","火力（ガス）","富津２－４号","162000","","","1900/01/01","9999/12/31","2025/04/09 15:14",
"東京","株式会社JERA","34039","富津火力発電所","火力（ガス）","富津２－５号","162000","","","1900/01/01","9999/12/31","2025/04/09 15:14",
"東京","株式会社JERA","34040","富津火力発電所","火力（ガス）","富津２－６号","162000","","","1900/01/01","9999/12/31","2025/04/09 15:15",
"東京","株式会社JERA","34041","富津火力発電所","火力（ガス）","富津２－７号","162000","","","1900/01/01","9999/12/31","2025/04/09 15:16",
