Region,State,Sector,Type,Plant / Project name,Unit / Phase name,GEM unit/phase ID,Status,units combined,DGR plant name,DGR unit,Notes
NR,Punjab,State,coal,Ropar power station,Unit 1,G100000108627,,,ROPAR TPS,Unit 1,
NR,Punjab,State,coal,Ropar power station,Unit 2,G100000108628,,,ROPAR TPS,Unit 2,
NR,Uttar Pradesh,Private,coal,Rosa Thermal Power Plant,Unit 1,G100000108634,,,ROSA TPP Ph-I,Unit 1,
NR,Uttar Pradesh,Private,coal,Rosa Thermal Power Plant,Unit 2,G100000108635,,,ROSA TPP Ph-I,Unit 2,
NR,Uttar Pradesh,Private,coal,Rosa Thermal Power Plant,Unit 3,G100000108636,,,ROSA TPP Ph-I,Unit 3,
NR,Uttar Pradesh,Private,coal,Rosa Thermal Power Plant,Unit 4,G100000108637,,,ROSA TPP Ph-I,Unit 4,
WR,Gujarat,Private,coal,Sabarmati power station,Phase C Unit 15,G100000108690,,,SABARMATI (C STATION),Unit 15,
WR,Gujarat,Private,coal,Sabarmati power station,Phase C Unit 16,G100000108691,,,SABARMATI (C STATION),Unit 16,
WR,Gujarat,Private,coal,Sabarmati power station,Phase D Unit 4,G100000108692,,,SABARMATI (D-F STATIONS),Unit 1,
WR,Gujarat,Private,coal,Sabarmati power station,Phase E Unit 5,G100000108693,,,SABARMATI (D-F STATIONS),Unit 2,
WR,Gujarat,Private,coal,Sabarmati power station,Phase F Unit 6,G100000108694,,,SABARMATI (D-F STATIONS),Unit 3,
ER,West Bengal,State,coal,Sagardighi Thermal Power Station,Unit 1,G100000108705,,,SAGARDIGHI TPS,Unit 1,
ER,West Bengal,State,coal,Sagardighi Thermal Power Station,Unit 2,G100000108706,,,SAGARDIGHI TPS,Unit 2,
ER,West Bengal,State,coal,Sagardighi Thermal Power Station,Stage II Unit 3,G100000108707,,,SAGARDIGHI TPS,Unit 3,
ER,West Bengal,State,coal,Sagardighi Thermal Power Station,Stage II Unit 4,G100000108708,,,SAGARDIGHI TPS,Unit 4,
WR,Gujarat,Private,coal,Salaya power plant,Unit 1,G100000108735,,,SALAYA TPP,Unit 1,
WR,Gujarat,Private,coal,Salaya power plant,Unit 2,G100000108736,,,SALAYA TPP,Unit 2,
WR,Chhatisgarh,Private,coal,Salora power station,Unit 1,G100000108749,,,SALORA TPP,Unit 1,
WR,Chhatisgarh,Private,coal,Salora power station,Unit 2,G100000108750,,,SALORA TPP,Unit 2,
WR,Madhya Pradesh,State,coal,Sanjay Gandhi power station,Unit 1,G100000108795,,,SANJAY GANDHI TPS,Unit 1,
WR,Madhya Pradesh,State,coal,Sanjay Gandhi power station,Unit 2,G100000108796,,,SANJAY GANDHI TPS,Unit 2,
WR,Madhya Pradesh,State,coal,Sanjay Gandhi power station,Unit 3,G100000108797,,,SANJAY GANDHI TPS,Unit 3,
WR,Madhya Pradesh,State,coal,Sanjay Gandhi power station,Unit 4,G100000108798,,,SANJAY GANDHI TPS,Unit 4,
WR,Madhya Pradesh,State,coal,Sanjay Gandhi power station,Unit 5,G100000108799,,,SANJAY GANDHI TPS,Unit 5,
ER,West Bengal,State,coal,Santaldih Thermal Power Station,Unit 5,G100000108812,,,SANTALDIH TPS,Unit 5,
ER,West Bengal,State,coal,Santaldih Thermal Power Station,Unit 6,G100000108813,,,SANTALDIH TPS,Unit 6,
WR,Madhya Pradesh,Private,coal,Sasan Ultra Mega Power Project,Unit 1,G100000108831,,,SASAN UMTPP,Unit 1,
WR,Madhya Pradesh,Private,coal,Sasan Ultra Mega Power Project,Unit 2,G100000108832,,,SASAN UMTPP,Unit 2,
WR,Madhya Pradesh,Private,coal,Sasan Ultra Mega Power Project,Unit 3,G100000108833,,,SASAN UMTPP,Unit 3,
WR,Madhya Pradesh,Private,coal,Sasan Ultra Mega Power Project,Unit 4,G100000108834,,,SASAN UMTPP,Unit 4,
WR,Madhya Pradesh,Private,coal,Sasan Ultra Mega Power Project,Unit 5,G100000108835,,,SASAN UMTPP,Unit 5,
WR,Madhya Pradesh,Private,coal,Sasan Ultra Mega Power Project,Unit 6,G100000108836,,,SASAN UMTPP,Unit 6,
