source_system,plant_code,plant_name,source_country,coal_relevant,has_coordinates,decided_by,pipeline_note,candidate_1_id,candidate_1_name,candidate_1_score,candidate_2_id,candidate_2_name,candidate_2_score,candidate_3_id,candidate_3_name,candidate_3_score,gem_location_id,not_in_gem,decision_note
ENTSOE,,KW Jänschwalde Block D,Germany,t,t,,,L100000101894,Janschwalde power station,66.7,L100001023473,BHKW Schwarzer Weg power station,55,,,,,f,
ENTSOE,,KW Jänschwalde Block E,Germany,t,t,,,L100000101894,Janschwalde power station,66.7,L100001046899,Eberswalde Hokawe power station,56.4,L100001023473,BHKW Schwarzer Weg power station,55,,f,
ENTSOE,,KW Jänschwalde Block F,Germany,t,t,,,L100000101894,Janschwalde power station,66.7,L100001023473,BHKW Schwarzer Weg power station,55,,,,,f,
ENTSOE,,KW Lippendorf Block R,Germany,t,t,,,L100000101983,Lippendorf power station,64.5,,,,,,,,f,
ENTSOE,,KW Lippendorf Block S,Germany,t,t,,,L100000101983,Lippendorf power station,64.5,,,,,,,,f,
ENTSOE,,KW Lünen Block 1,Germany,t,t,,,L100001046567,Lünen Biomass power station,55.2,,,,,,,,f,
ENTSOE,,KW Schwarze Pumpe Block A,Germany,t,t,,,L100000101895,Schwarze Pumpe power station,71.8,L100001023473,BHKW Schwarzer Weg power station,55.8,,,,,f,
ENTSOE,,KW Schwarze Pumpe Block B,Germany,t,t,,,L100000101895,Schwarze Pumpe power station,71.8,L100001023473,BHKW Schwarzer Weg power station,55.8,,,,,f,
ENTSOE,,Karolin B2,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Poznań Karolin EC-II'; no GEM link — review,L100000103277,Poznan Karolin power station,58.3,,,,,,,,f,
ENTSOE,,Karolin B3,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Poznań Karolin EC-II'; no GEM link — review,L100000103277,Poznan Karolin power station,58.3,,,,,,,,f,
ENTSOE,,Katowice B1,Poland,t,t,,,L100000103263,Katowice PKE power station,69.6,,,,,,,,f,
ENTSOE,,Kozienice 2 B09,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Kozienice II'; no GEM link — review,L100000103233,Kozienice power station,75,,,,,,,,f,
ENTSOE,,Kozienice 2 B10,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Kozienice II'; no GEM link — review,L100000103233,Kozienice power station,75,,,,,,,,f,
ENTSOE,,Kozienice 2 B11,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Kozienice II'; no GEM link — review,L100000103233,Kozienice power station,75,,,,,,,,f,
ENTSOE,,Kraków Łęg B1,Poland,t,t,,,,,,,,,,,,,f,
ENTSOE,,LADA IV,Spain,t,t,legacy-pipeline,grandfathered llm match to GPPD 'CT LADA 4'; no GEM link — review,L100000103501,Lada power station,72.7,,,,,,,,f,
ENTSOE,,LITORAL 2,Spain,t,t,legacy-pipeline,grandfathered llm match to GPPD 'LITORAL DE ALMERIA GR 2'; no GEM link — review,L100000103494,Litoral de Almería power station,59.3,,,,,,,,f,
ENTSOE,,MGRES U4,Moldova,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Moldavskaya GRES'; no GEM link — review,,,,,,,,,,,f,
ENTSOE,,MGRES U5,Moldova,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Moldavskaya GRES'; no GEM link — review,,,,,,,,,,,f,
ENTSOE,,Naantali B1,Finland,t,t,,,L100000101849,Naantali CHP power station,78.3,L100001000056,Naantali Reserve power station,59.3,,,,,f,
ENTSOE,,Naantali B2,Finland,t,t,,,L100000101849,Naantali CHP power station,78.3,L100001000056,Naantali Reserve power station,59.3,,,,,f,
ENTSOE,,Naantali B3,Finland,t,t,,,L100000101849,Naantali CHP power station,78.3,L100001000056,Naantali Reserve power station,59.3,,,,,f,
ENTSOE,,Naantali B4,Finland,t,t,,,L100000101849,Naantali CHP power station,78.3,L100001000056,Naantali Reserve power station,59.3,,,,,f,
ENTSOE,,Nord 2 T20,Germany,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Nord 2'; no GEM link — review,,,,,,,,,,,f,
