country,gem_location_id,gem_plant_name,other_names,local_name,state_province,latitude,longitude,operating_mw,retired_mw,units_operating,units_retired,units_other_status,wiki_url
India,L100000104432,Heoti power station,,,Maharashtra,20.85564,79.322502,,,0,0,1,https://www.gem.wiki/Heoti_power_station
India,L100000102594,Hindupur power station,,,Telangana,13.830371,77.490084,,,0,0,1,https://www.gem.wiki/Hindupur_power_station
India,L100000102466,Hirakud Smelter power station,,,Odisha,21.529687,83.904569,367.5,,4,0,0,https://www.gem.wiki/Hirakud_Smelter_power_station
India,L100000104433,Hiranmaye Haldia power station,,Haldia Kasbere,West Bengal,22.07702746,88.09822681,300,,2,0,1,https://www.gem.wiki/Hiranmaye_Haldia_power_station
India,L100000102150,IFFCO-CSPGCL Thermal Power Project,,,Chhattisgarh,22.920278,82.776944,,,0,0,2,https://www.gem.wiki/IFFCO-CSPGCL_Thermal_Power_Project
India,L100000102467,Ib Valley Thermal Power Station,,IB Thermal Power Station,Odisha,21.690729,83.860096,1740,,4,0,2,https://www.gem.wiki/Ib_Valley_Thermal_Power_Station
India,L100000102264,Ichagarh power station,,,Jharkhand,23.018671,85.94376,,,0,0,3,https://www.gem.wiki/Ichagarh_power_station
India,L100000102237,Indira Gandhi Super Thermal Power Project,,Aravali Thermal Power Project,Haryana,28.485091,76.37316,1500,,3,0,2,https://www.gem.wiki/Indira_Gandhi_Super_Thermal_Power_Project
India,L100000102099,Indragacchi power station,,,Bihar,26.500702,84.684087,,,0,0,2,https://www.gem.wiki/Indragacchi_power_station
India,L100000104751,Indraprastha power station,,,Delhi,28.6247,77.2505,,284.1,0,5,0,https://www.gem.wiki/Indraprastha_power_station
India,L100000102473,JR Power Project,,,Odisha,18.852709,83.876458,,,0,0,3,https://www.gem.wiki/JR_Power_Project
India,L100000102526,JSW Barmer Jalipa Kapurdi power station,,,Rajasthan,25.895391,71.329871,1080,,8,0,5,https://www.gem.wiki/JSW_Barmer_Jalipa_Kapurdi_power_station
India,L100000102172,JSW Ispat Raigarh power station,,Monnet Raigarh power station,Chhattisgarh,21.987781,83.231306,151,,1,0,1,https://www.gem.wiki/JSW_Ispat_Raigarh_power_station
India,L100000102405,JSW Tarapur power station,,,Maharashtra,19.794507,72.740525,30,,1,0,0,https://www.gem.wiki/JSW_Tarapur_power_station
India,L100000104954,JSW Utkal Steel power station,,,Odisha,20.225479,86.562654,,,0,0,3,https://www.gem.wiki/JSW_Utkal_Steel_power_station
India,L100000102303,JSW Vijayanagar Toranagallu power station,,Toranagallu (JSW Vijayanagar) power station,Karnataka,15.186771,76.6621387,860,,4,0,1,https://www.gem.wiki/JSW_Vijayanagar_Toranagallu_power_station
India,L100000102211,Jafrabad power station,,,Gujarat,20.8667,71.3667,,,0,0,2,https://www.gem.wiki/Jafrabad_power_station
India,L100000102151,Jagdalpur Steel captive power station,,,Chhattisgarh,19.093632,82.169194,,,0,0,1,https://www.gem.wiki/Jagdalpur_Steel_captive_power_station
India,L100000102631,Jagdishpur captive power station,,,Uttar Pradesh,26.75,80.533,,,0,0,2,https://www.gem.wiki/Jagdishpur_captive_power_station
India,L100000102100,Jagdishpur power station,,,Bihar,25.462469,84.416183,,,0,0,2,https://www.gem.wiki/Jagdishpur_power_station
India,L100000102265,Jamshedpur Works power station,,,Jharkhand,22.787368,86.200088,90,,3,0,0,https://www.gem.wiki/Jamshedpur_Works_power_station
India,L100000102468,Jamuchakada power station,,,Odisha,20.695833,85.438597,,,0,0,2,https://www.gem.wiki/Jamuchakada_power_station
India,L100000102469,Jamunda power station,,,Odisha,20.705855,85.079766,,,0,0,2,https://www.gem.wiki/Jamunda_power_station
